市町村コード,都道府県名及び市町村名,NO,施設・場所名,住所,洪水,崖崩、土石流及び地滑,高潮,地震,津波,大規模火災,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
14100,神奈川県横浜市,1517,横浜市立川和東小学校　校舎１－１,神奈川県横浜市都筑区富士見が丘21-2,1,1,,1,,1,,,1,35.53145111,139.5583387,
14100,神奈川県横浜市,1518,横浜市立川和東小学校　校舎８,神奈川県横浜市都筑区富士見が丘21-2,1,1,,1,,1,,,1,35.53160827,139.5580651,
14100,神奈川県横浜市,1519,横浜市立北山田小学校　体育館２－１,神奈川県横浜市都筑区北山田5-14-1,1,1,,1,,,,,1,35.56511897,139.5859578,
14100,神奈川県横浜市,1520,横浜市立北山田小学校　校舎６,神奈川県横浜市都筑区北山田5-14-1,1,1,,1,,,,,1,35.56480042,139.5854267,
14100,神奈川県横浜市,1521,横浜市立北山田小学校　校舎１－１,神奈川県横浜市都筑区北山田5-14-1,1,1,,1,,,,,1,35.56480042,139.5858612,
14100,神奈川県横浜市,1522,横浜市立井土ケ谷小学校　校舎４,神奈川県横浜市南区井土ケ谷上町2-1,1,1,1,1,,,,,1,35.432749,139.599529,
14100,神奈川県横浜市,1523,横浜市立井土ケ谷小学校　体育館,神奈川県横浜市南区井土ケ谷上町2-1,1,1,1,1,,,,,1,35.433088,139.600282,
14100,神奈川県横浜市,1524,横浜市立井土ケ谷小学校　校舎１８,神奈川県横浜市南区井土ケ谷上町2-1,1,1,1,1,,,,,1,35.432745,139.599472,
14100,神奈川県横浜市,1525,横浜市立井土ケ谷小学校　校舎６,神奈川県横浜市南区井土ケ谷上町2-1,1,1,1,1,,,,,1,35.433073,139.599572,
14100,神奈川県横浜市,1526,横浜市立井土ケ谷小学校　校舎１５－２,神奈川県横浜市南区井土ケ谷上町2-1,1,1,1,1,,,,,1,35.433313,139.600046,
14100,神奈川県横浜市,1527,横浜市立井土ケ谷小学校　校舎１３,神奈川県横浜市南区井土ケ谷上町2-1,1,1,1,1,,,,,1,35.432458,139.599773,
14100,神奈川県横浜市,1528,横浜市立永田台小学校　体育館,神奈川県横浜市南区永田みなみ台6-1,1,1,1,1,,1,,,1,35.433168,139.589035,
14100,神奈川県横浜市,1529,横浜市立永田台小学校　校舎１,神奈川県横浜市南区永田みなみ台6-1,1,1,1,1,,1,,,1,35.432722,139.589464,
14100,神奈川県横浜市,1530,横浜市立永田台小学校　校舎２－１,神奈川県横浜市南区永田みなみ台6-1,1,,1,1,,1,,,1,35.432512,139.589099,
14100,神奈川県横浜市,1531,横浜市立永田中学校　校舎２,神奈川県横浜市南区永田みなみ台7-1,1,1,1,1,,1,,,1,35.43337227,139.5872031,
14100,神奈川県横浜市,1532,横浜市立永田中学校　校舎９,神奈川県横浜市南区永田みなみ台7-1,1,,1,1,,1,,,1,35.434101,139.587627,
14100,神奈川県横浜市,1533,横浜市立永田中学校　校舎２,神奈川県横浜市南区永田みなみ台7-1,1,1,1,1,,1,,,1,35.433852,139.587316,
14100,神奈川県横浜市,1534,横浜市立永田中学校　校舎１,神奈川県横浜市南区永田みなみ台7-1,1,,1,1,,1,,,1,35.43407,139.587236,
14100,神奈川県横浜市,1535,永田中学校校舎３－２,神奈川県横浜市南区永田みなみ台7-1,1,,1,1,,1,,,1,35.433901,139.587355,
14100,神奈川県横浜市,1536,横浜市立永田小学校　体育館,神奈川県横浜市南区永田北2-6-12,1,,1,1,,,,,1,35.435063,139.591191,
14100,神奈川県横浜市,1537,横浜市立永田小学校　校舎１,神奈川県横浜市南区永田北2-6-12,1,,1,1,,,,,1,35.435575,139.591572,
14100,神奈川県横浜市,1538,横浜市立永田小学校　校舎１７,神奈川県横浜市南区永田北2-6-12,1,1,1,1,,,,,1,35.435737,139.592152,
14100,神奈川県横浜市,1539,横浜市立蒔田中学校　校舎９（２階以上）,神奈川県横浜市南区花之木町2-45,1,1,,1,,,,,1,35.432383,139.609554,
14100,神奈川県横浜市,1540,横浜市立蒔田中学校　校舎９,神奈川県横浜市南区花之木町2-45,1,1,1,1,,1,,,1,35.432204,139.60927,
14100,神奈川県横浜市,1541,横浜市立蒔田中学校　体育館,神奈川県横浜市南区花之木町2-45,,1,1,1,,1,,,1,35.432571,139.609785,
14100,神奈川県横浜市,1542,横浜市立蒔田中学校　校舎１４－１（２階以上）,神奈川県横浜市南区花之木町2-45,1,1,,1,,,,,1,35.431609,139.609635,
14100,神奈川県横浜市,1543,横浜市立蒔田中学校　校舎１４－１,神奈川県横浜市南区花之木町2-45,1,1,1,1,,1,,,1,35.431915,139.609308,
14100,神奈川県横浜市,1544,横浜市立南吉田小学校　体育館,神奈川県横浜市南区高根町2-14,1,1,1,1,1,,,,1,35.436426,139.626117,
14100,神奈川県横浜市,1545,横浜市立南吉田小学校　校舎１,神奈川県横浜市南区高根町2-14,1,1,1,1,1,,,,1,35.436635,139.626653,
14100,神奈川県横浜市,1546,横浜市立太田小学校　校舎１,神奈川県横浜市南区三春台42,1,1,1,1,,,,,1,35.440871,139.617742,
14100,神奈川県横浜市,1547,横浜市立太田小学校　校舎２－２,神奈川県横浜市南区三春台42,1,1,1,1,,,,,1,35.441156,139.617302,
14100,神奈川県横浜市,1548,横浜市立太田小学校　体育館,神奈川県横浜市南区三春台42,1,1,1,1,,,,,1,35.44067,139.61757,
14100,神奈川県横浜市,1549,横浜市立太田小学校　校舎２－１,神奈川県横浜市南区三春台42,1,1,1,1,,,,,1,35.441265,139.617146,
14100,神奈川県横浜市,1550,横浜市立日枝小学校　校舎１,神奈川県横浜市南区山王町5-31,1,1,1,1,1,,,,1,35.435592,139.616625,
14100,神奈川県横浜市,1551,横浜市立日枝小学校　体育館,神奈川県横浜市南区山王町5-31,1,1,,1,1,,,,1,35.435339,139.617081,
14100,神奈川県横浜市,1552,横浜市立蒔田小学校　校舎２－１,神奈川県横浜市南区蒔田町1020,1,,1,1,,,,,1,35.425896,139.613316,
14100,神奈川県横浜市,1553,横浜市立蒔田小学校　校舎１,神奈川県横浜市南区蒔田町1020,1,,1,1,,,,,1,35.426167,139.612887,
